No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
BANGKOK VINICITY AND CENTRAL,,,,,,,,,,
1,Alpine Golf Club,,,,,,,,,
,Weekday,Include,Include,Include,"5,400",,Include,Include,Include,"6,500"
,Weekend After 8.30 A.M.,Include,Include,Include,"7,200",,Include,Include,Include,"8,500"
2,Bangkok Golf Club,,,,,,,,,
,Weekday ,,750,400,"1,150",,,750,400,"1,150"
,Weekend,,750,400,"1,150",,,750,400,"1,150"
,Night Golf,,750,400,"1,150",,,750,400,"1,150"
3,Ban Rakat Club,,,,,,,,,
,Weekday,,,,,,,,,
,Weekend Before 12.00 P.M.,,,,,,,,,
,Weekend After 12.00 P.M.,,,,,,,,,
4,Bangpakong Riverside Country Club,,,,,,,,,
,Weekday,,400,750,"1,150",,,400,750,"1,150"
,Weekend Before 8.22 A.M.,,400,750,"1,150",,,400,750,"1,150"
,Weekend After 11.22 A.M.,,400,750,"1,150",,,400,750,"1,150"
5,Cascata Golf Club,,,,,,,,,
,Weekday ,"1,000",430,770,"2,200",,"1,700",430,770,"2,900"
,Weekend,"1,800",430,770,"3,000",,"2,700",430,770,"3,900"
6,Flora Ville Golf & Country Club,,,,,,,,,
,Weekday,Include,Include,Include,,,Include,Include,Include,
,Weekend Before 11.00 A.M.,Include,Include,Include,,,Include,Include,Include,
,Weekend After 11.00 A.M.,Include,Include,Include,,,Include,Include,Include,
,Night Golf (Not Monday),Include,Include,Include,,,Include,Include,Include,
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
7,Green Valley Country Club,,,,,,,,,
,Weekday,"2,000",450,850,"3,300",,"2,500",450,850,"3,800"
,Weekend 6.00 - 8.30,"3,200",450,850,"4,500",,"4,000",450,850,"5,300"
,Weekend 11.30 - 1.00 P.M.,"2,900",450,850,"4,200",,"4,000",450,850,"5,300"
,Twillight Golf 2.45 P.M.,Include,Include,Include,"3,200",,Include,Include,Include,"3,800"
,Twillight Golf 4.37 P.M.,Include,Include,Include,"4,100",,Include,Include,Include,"4,800"
8,Krung Kavee Golf Course & Country Club,,,,,,,,,
,Weekday Before 12.00 P.M.,"1,700",400,700,"2,800",,"2,100",400,700,"3,200"
,Weekday After 12.00 P.M.,"1,100",400,700,"2,200",,"1,600",400,700,"2,700"
,Weekend Before 12.00 P.M.,"2,500",400,700,"3,600",,"3,200",400,700,"4,300"
,Weekend After 12.00 P.M.,"1,800",400,700,"2,900",,"2,500",400,700,"3,600"
9,Lam Luk Ka Country Club,,,,,,,,,
,Weekday,Include,Include,Include,"2,500",,"2,000",400,800,"3,200"
,Weekend Before 8.43 A.M.,"2,550",400,800,"3,750",,"3,100",400,800,"4,300"
,Weekend After 11.30 P.M.,"2,000",400,800,"3,200",,"2,600",400,800,"3,800"
10,Lakewood Country Club,,,,,,,,,
,Weekday,Include,Include,Include,"2,750",,Include,Include,Include,"3,200"
,Weekend Before 8.45 A.M.,Include,Include,Include,"4,000",,Include,Include,Include,"4,500"
,Weekend After 11.15 A.M.,Include,Include,Include,"3,350",,Include,Include,Include,"3,850"
11,Legacy Golf Club,,,,,,,,,
,Weekday,,400,950,"1,350",,,400,950,"1,350"
,Weekend,,400,950,"1,350",,,400,950,"1,350"
12,Lotus Valley Golf Resort,,,,,,,,,
,Weekday,Include,Include,Include,"2,050",,"2,000",400,700,"3,100"
,Weekend Early Start,Include,Include,Include,"3,050",,"3,000",400,700,"4,100"
,Weekend Late Start,Include,Include,Include,"2,250",,"3,000",400,700,"4,100"
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
13,Muang Kaew Golf Course,,,,,,,,,
,Weekday,"2,200",450,800,"3,450",,"3,200",450,800,"4,450"
,Weekend before 8.30 A.M.,"3,200",450,800,"4,450",,"4,200",450,800,"5,450"
,Weekend After 11.30 A.M.,"3,200",450,800,"4,450",,"4,200",450,800,"5,450"
14,Nikanti Golf Club,,,,,,,,,
,Weekday,Include,Include,Include,"5,500",,Include,Include,Include,"5,500"
,Weekend,Include,Include,Include,"6,500",,Include,Include,Include,"6,500"
15,Northern Rangsit Golf Club,,,,,,,,,
,Weekday Before 10.00 A.M.,,400,600,"1,000",,,400,600,"1,000"
,Weekend Before 8.30 A.M.,,400,600,"1,000",,,400,600,"1,000"
16,Phoenix Gold Golf Bangkok,,,,,,,,,
,Weekday,"2,250",400,800,"3,450",,"2,500",400,800,"3,700"
,Weekend,"2,950",400,800,"4,150",,"3,300",400,800,"4,500"
17,Rachakram Golf Club,,,,,,,,,
,Weekday,Include,Include,Include,"2,400",,Include,Include,Include,"2,700"
,Weekend Before 11.30 A.M.,Include,Include,Include,"3,100",,Include,Include,Include,"3,500"
,Weekend After 11.30 A.M.,Include,Include,Include,"2,600",,Include,Include,Include,"3,000"
,Night Golf,Include,Include,Include,-,,Include,Include,Include,-
18,Riverdale Golf Club,,,,,,,,,
,Weekday,,400,800,"1,200",,,400,800,"1,200"
,Weekend,,400,800,"1,200",,,400,800,"1,200"
19,Royal Bang Pa-in Golf Club,,,,,,,,,
,Weekday,Include,Include,Include,"3,950",,"3,000",550,"1,000","4,550"
,Weekend,Include,Include,Include,"4,950",,"4,000",550,"1,000","5,550"
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
20,Royal Hills Golf Resort & Spa,,,,,,,,,
,Weekday,Include,Include,Include,,,Include,Include,Include,
,Weekend,Include,Include,Include,,,Include,Include,Include,
21,Rose Garden Golf Club,,,,,,,,,
,Weekday,,,,,,,,,
,Weekend Before 8.30 A.M.,,,,,,,,,
,Weekend After 11.00 A.M.,,,,,,,,,
22,Summit Pinehurst Golf Club,,,,,,,,,
,Weekday Before 10.50 A.M.,"2,100",400,700,"3,200",,"2,700",400,700,"3,800"
,Weekday After 11.00 A.M.,"1,750",400,700,"2,850",,"2,400",400,700,"3,500"
,Weekend Before 10.50 A.M.,"2,700",400,700,"3,800",,"3,500",400,700,"4,600"
,Weekend After 11.00 A.M.,"1,950",400,700,"3,050",,"2,500",400,700,"3,600"
,Night Golf,-,-,-,-,,-,-,-,-
23,Siam Country Club Bangkok,,,,,,,,,
,Weekday,"4,200",480,980,"5,660",,"5,000",480,980,"6,460"
,Weekend Before 8.22 A.M.,"5,200",480,980,"6,660",,"6,000",480,980,"7,460"
,Weekend After 11.34 A.M.,"4,900",480,980,"6,360",,"6,000",480,980,"7,460"
24,Subhapruek Golf Club,,,,,,,,,
,Weekday,"1,000",400,700,"2,100",,"1,600",400,700,"2,700"
,Weekend Early Start,"2,500",400,700,"3,600",,"3,200",400,700,"4,300"
,Weekend Late Start,"1,400",400,700,"2,500",,"2,100",400,700,"3,200"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
25,Summit Windmill Golf Club,,,,,,,,,
,Weekday Befire 10.56 A.M.,Include,Include,Include,"4,250",,"4,000",450,"1,000","5,450"
,Weekday 11.04-13.28 P.M.,Include,Include,Include,"4,150",,"3,800",450,"1,000","5,250"
,Weekday13.36-16.00 P.M.,Include,Include,Include,"3,200",,"2,800",450,"1,000","4,250"
,Weekend Before 8.16 A.M.,Include,Include,Include,"5,700",,"5,500",450,"1,000","6,950"
,Weekend 10.48 A.M. -1.04 P.M. ,Include,Include,Include,"5,550",,"5,100",450,"1,000","6,550"
,Weekend 3.36-5.20 P.M.,Include,Include,Include,"3,200",,"2,800",450,"1,000","4,250"
,Night Golf,Include,Include,Include,"2,850",,"1,600",450,"1,000","3,050"
26,Suwan Golf & Country Club,,,,,,,,,
,Weekday,Include,Include,Include,"2,950",,Include,Include,Include,"3,250"
,Weekend,Include,Include,Include,"4,300",,Include,Include,Include,"4,500"
27,The RG City Golf City,,,,,,,,,
,Weekday,Include,Include,Include,"4,650",,Include,Include,Include,"4,950"
,Weekend,Include,Include,Include,"6,300",,Include,Include,Include,"7,400"
28,The Royal Golf & Country Club,,,,,,,,,
,Weekday,"2,600",400,850,"3,850",,"3,500",400,850,"4,750"
,Weekend Before 8.34 A.M.,"3,800",400,850,"5,050",,"4,500",400,850,"5,750"
,Weekend After 11.06 A.M.,"2,800",400,850,"4,050",,"4,500",400,850,"5,750"
29,Thana City Country Club,,,,,,,,,
,Monday,"2,200",450,850,"3,500",,"2,550",450,850,"3,850"
,Weekday,"2,600",450,850,"3,900",,"2,900",450,850,"4,200"
,Weekend Before 8.16 A.M.,"3,600",450,850,"4,900",,"3,800",450,850,"5,100"
,Weekend After 10.56 A.M.,"3,200",450,850,"4,500",,"3,400",450,850,"4,700"
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
30,Thai Country Club,,,,,,,,,
,Weekday Before 8.16 A.M.,Include,Include,Include,"6,000",,Include,Include,Include,"6,800"
,Weekday After 11.20 A.M.,Include,Include,Include,"6,000",,Include,Include,Include,"6,800"
,Weekend,Include,Include,Include,"7,600",,Include,Include,Include,"8,400"
31,The Vintage Club,,,,,,,,,
,Weekday,"2,000",450,800,"3,250",,"2,600",450,800,"3,850"
,Weekend,"3,100",450,800,"4,350",,"3,800",450,800,"5,050"
32,Windsor Park & Golf Club,,,,,,,,,
,Weekday,"1,800",400,700,"2,900",,"2,400",400,700,"3,500"
,Weekend Before 8.30 A.M.,"2,400",400,700,"3,500",,"3,000",400,700,"4,100"
33,Wangnoi Prestige Golf Course,,,,,,,,,
,Weekday,,400,900,"1,300",,,400,900,"1,300"
,Weekend,,400,900,"1,300",,,400,900,"1,300"
34,Watermill Golf Club & Resort,,,,,,,,,
,Weekday Before 8.30 A.M.,,350,700,"1,050",,,350,700,"1,050"
,Weekday After 11.30 A.M.,,350,700,"1,050",,,350,700,"1,050"
,Weekend Before 8.30 A.M.,,350,700,"1,050",,,350,700,"1,050"
,Weekend After 11.30 A.M.,,350,700,"1,050",,,350,700,"1,050"
"CHONBURI , PATTAYA AND RAYONG",,,,,,,,,,
35,Bangpra Golf Club,,,,,,,,,
,Weekday,"2,050",400,600,"3,050",,"2,350",400,600,"3,350"
,Weekend Before 8.30 A.M.,"2,850",400,600,"3,850",,"3,050",400,600,"4,050"
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
36,Burapha Golf & Resort Thailand,,,,,,,,,
,Weekday,,400,850,"1,250",,,400,850,"1,250"
,Weekend,,400,850,"1,250",,,400,850,"1,250"
37,Chee Chan Golf Resort,,,,,,,,,
,Weekday,"3,900",450,850,"5,200",,"4,900",450,850,"6,200"
,Weekend,"4,800",450,850,"6,100",,"5,800",450,850,"7,100"
38,Khao Kheow Country Club,,,,,,,,,
,Weekday,Include,Include,Include,,,Include,Include,Include,
,Weekend Before 11.00 A.M.,Include,Include,Include,,,Include,Include,Include,
,Weekend After 11.00 A.M,Include,Include,Include,,,Include,Include,Include,
39,Laem ChabangInternational Country Club,,,,,,,,,
,Weekday,"3,200",450,980,"4,630",,"3,500",450,980,"4,930"
,Weekend Before 8.38 A.M.,"3,600",450,980,"5,030",,"4,000",450,980,"5,430"
,Weekend Night Golf,"3,200",450,980,"4,630",,"3,800",450,980,"5,230"
40,Parichat international golf links,,,,,,,,,
,Weekday,Include,Include,Include,,,Include,Include,Include,
,Weekend,Include,Include,Include,,,Include,Include,Include,
41,Pattana Golf Club & Resort,,,,,,,,,
,Weekday,"2,350",400,800,"3,550",,"3,250",400,800,"4,450"
,Weekend,"2,900",400,800,"4,100",,"4,450",400,800,"5,650"
42,Phoenix Gold Golf & Country Club,,,,,,,,,
,Weekday,"2,200",400,700,"3,300",,"3,000",400,700,"4,100"
,Weekend,"2,500",400,700,"3,600",,"3,500",400,700,"4,600"
,,,,,,,,,,
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
43,Pleasant Valley Golf&Country Club,,,,,,,,,
,Weekday,,400,600,"1,000",,,400,600,"1,000"
,Weekend,,400,600,"1,000",,,400,600,"1,000"
44,Royal Lakeside Golf Club,,,,,,,,,
,Weekday,"1,400",450,800,"2,650",,"1,900",450,800,"3,150"
,Weekend Before 11.20 A.M.,"2,700",450,980,"4,130",,"3,200",450,980,"4,630"
,Weekend After 11.30 A.M.,"1,700",450,800,"2,950",,"2,200",450,800,"3,450"
45,Rayong Green Valley Country Club,,,,,,,,,
,Weekday,"1,900",450,900,"3,250",,"3,000",450,900,"4,350"
,Weekend,"2,100",450,900,"3,450",,"3,500",450,900,"4,850"
46,St.Andrew2000 Golf Course,,,,,,,,,
,Weekday,"1,900",450,900,"3,250",,"3,000",450,900,"4,350"
,Weekend,"2,100",450,900,"3,450",,"3,500",450,900,"4,850"
47,Siam Country Club Old Course,,,,,,,,,
,Weekday,"4,800",480,980,"6,260",,"6,500",480,980,"7,960"
,Weekend,"6,000",480,980,"7,460",,"8,500",480,980,"9,960"
,Siam Country Club Plantation,,,,,,,,,
,Weekday,"4,100",480,980,"5,560",,"5,500",480,980,"6,960"
,Weekend,"5,000",480,980,"6,460",,"6,500",480,980,"7,960"
,Siam Country Club Waterside,,,,,,,,,
,Weekday,"4,100",480,980,"5,560",,"5,500",480,980,"6,960"
,Weekend,"5,000",480,980,"6,460",,"6,500",480,980,"7,960"
,Siam Country Club Rolling hills,,,,,,,,,
,Weekday,"4,100",480,980,"5,560",,"5,500",480,980,"6,960"
,Weekend,"5,000",480,980,"6,460",,"6,500",480,980,"7,960"
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
48,Treasure Hill Golf Club,,,,,,,,,
,Weekday,"1,000",380,700,"2,080",,"1,300",380,700,"2,380"
,Weekend Before,"1,100",380,700,"2,180",,"1,800",380,700,"2,880"
49,Wangjuntr Golf Park,,,,,,,,,
,Weekday,Include,Include,Include,,,,350,800,"1,150"
,Weekend,Include,Include,Include,,,,350,800,"1,150"
KHAO YAI,,,,,,,,,,
50,Kirimaya Golf Resort & Spa,,,,,,,,,
,Weekday,,400,600,"1,000",,,400,600,"1,000"
,Weekend,,400,600,"1,000",,,400,600,"1,000"
51,Mountain Creek Golf Resort 4-6 p.,,,,,,,,,
,Weekday,,350,600,950,,"2,500",350,600,"3,450"
,Weekend,,350,600,950,,"3,500",350,600,"4,450"
52,My Ozone Golf Club Khaoyai 1-6 p.,,,,,,,,,
,Weekday,,450,600,"1,050",,,450,600,"1,050"
,Weekend,,450,600,"1,050",,,450,600,"1,050"
53,Rancho Charnvee Resort & Country Club,,,,,,,,,
,Weekday,"1,600",450,600,"2,650",,"2,400",450,600,"3,450"
,Weekend,"1,900",450,600,"2,950",,"2,700",450,600,"3,750"
54,Toscana Valley Golf Course,,,,,,,,,
,Monday-Thursday,Include,Include,Include,"4,400",,Include,Include,Include,"5,000"
,Friday-Sunday,Include,Include,Include,"5,500",,Include,Include,Include,"6,500"
,,,,,,,,,,
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
HUAHIN AND KANJANABURI,,,,,,,,,,
55,Blue Sapphire Golf and Resort,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,,,Include,Include,Include,
56,Black Mountain Golf Club,,,,,,,,,
,Weekday/Weekend,"4,500",350,750,"5,600",,"5,500",350,750,"6,600"
57,Grand Prix Golf Club,,,,,,,,,
,Weekday/Weekend,,400,600,"1,000",,,400,600,"1,000"
58,Lake View Resort and Golf Club,,,,,,,,,
,Weekday/Weekend,"1,350",350,750,"2,450",,"1,850",350,750,"2,950"
59,Palm Hills Golf Club,,,,,,,,,
,Weekday/Weekend,"2,000",350,700,"3,050",,"2,600",350,700,"3,650"
60,Pineapple Valley Golf Club,,,,,,,,,
,Weekday/Weekend,"3,900",400,750,"5,050",,"4,500",400,750,"5,650"
61,Springfield Royal Country Club,,,,,,,,,
,Weekday/Weekend Before 2.00 P.M.,"2,400",350,750,"3,500",,"3,000",350,750,"4,100"
,Weekday/Weekend After 2.00 P.M.,"1,400",350,750,"2,500",,"2,200",350,750,"3,300"
CHIANG MAI AND CHIANG RAI,,,,,,,,,,
62,Alpine Golf Resort Chiangmai,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"4,900",,Include,Include,Include,"6,000"
63,Chiangmai Highlands Golf and Spa Resort,,,,,,,,,
,Weekday/Weekend,"3,100",400,750,"4,250",,"4,000",400,750,"5,150"
64,Santiburi Country Club Chiangrai,,,,,,,,,
,Weekday/Weekend,,350,600,950,,,350,600,950
,,,,,,,,,,
,,,,,,,,,,
No.,List of Golf Course,Golf Okay Thailand Rate,,,,,Regular Rate,,,
,,Green fee,Caddy,Golf Cart,Price,,Green fee,Caddy,Golf Cart,Price
"PHUKET, SURATHANI AND PHANG NGA",,,,,,,,,,
65,Aquella Golf & Country Club,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"3,150",,Include,Include,Include,"3,450"
66,Blue Canyon Country Club Canyon Course,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"4,600",,Include,Include,Include,"6,000"
67,Blue Canyon Country Club Lake Course,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"2,900",,Include,Include,Include,"3,500"
68,Loch Palm Golf Club   ,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"4,000",,Include,Include,Include,"4,800"
69,Mission Hills Phuket Golf Resort & Spa,,,,,,,,,
,Weekday/Weekend,"3,900",400,700,"5,000",,"4,900",400,700,"6,000"
70,,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"4,500",,Include,Include,Include,"6,000"
71,Santiburi Samui Country Club,,,,,,,,,
,Weekday/Weekend,Include,Include,Include,"3,750",,Include,Include,Include,"5,250"